#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  14000      3.19e+00    3.00e+00      1.55e-02    5.24e-03      1.06e-01    9.99e-02    9.0e-04
  14100      2.66e+00    2.41e+00      4.36e-02    5.14e-02      8.85e-02    8.00e-02    9.0e-04
  14200      2.90e+00    2.85e+00      2.68e-02    2.38e-02      9.66e-02    9.48e-02    9.0e-04
  14300      2.68e+00    2.22e+00      8.61e-03    1.39e-03      8.92e-02    7.38e-02    9.0e-04
  14400      2.78e+00    2.68e+00      9.37e-03    9.44e-03      9.25e-02    8.93e-02    9.0e-04
  14500      2.62e+00    2.45e+00      9.70e-03    1.12e-02      8.73e-02    8.15e-02    9.0e-04
  14600      2.55e+00    2.40e+00      3.13e-02    2.34e-02      8.49e-02    7.97e-02    9.0e-04
  14700      2.48e+00    2.30e+00      1.01e-02    7.71e-03      8.26e-02    7.67e-02    9.0e-04
  14800      2.41e+00    2.21e+00      2.77e-02    4.23e-02      8.02e-02    7.35e-02    9.0e-04
  14900      2.36e+00    2.45e+00      2.91e-02    3.01e-02      7.85e-02    8.13e-02    9.0e-04
  15000      2.28e+00    2.39e+00      1.89e-02    3.01e-02      7.79e-02    8.15e-02    8.6e-04
  15100      2.39e+00    2.15e+00      7.07e-03    1.06e-02      8.17e-02    7.34e-02    8.6e-04
  15200      2.26e+00    2.19e+00      1.23e-02    2.02e-02      7.71e-02    7.49e-02    8.6e-04
  15300      2.38e+00    2.11e+00      2.49e-02    2.34e-02      8.11e-02    7.21e-02    8.6e-04
  15400      2.24e+00    2.48e+00      8.49e-03    6.18e-03      7.66e-02    8.48e-02    8.6e-04
  15500      2.28e+00    2.04e+00      9.46e-03    9.91e-04      7.78e-02    6.98e-02    8.6e-04
  15600      2.33e+00    2.41e+00      2.01e-02    1.49e-02      7.94e-02    8.23e-02    8.6e-04
  15700      2.22e+00    2.23e+00      1.82e-02    1.35e-02      7.58e-02    7.60e-02    8.6e-04
  15800      2.44e+00    2.38e+00      2.42e-02    2.81e-02      8.31e-02    8.12e-02    8.6e-04
  15900      2.31e+00    2.71e+00      2.50e-02    3.18e-02      7.87e-02    9.26e-02    8.6e-04
  16000      2.43e+00    2.35e+00      9.32e-03    2.24e-02      8.30e-02    8.04e-02    8.6e-04
  16100      2.07e+00    2.46e+00      3.17e-02    2.52e-02      7.04e-02    8.39e-02    8.6e-04
  16200      2.47e+00    2.39e+00      3.73e-02    4.07e-02      8.42e-02    8.15e-02    8.6e-04
  16300      2.28e+00    2.65e+00      8.40e-03    1.62e-03      7.78e-02    9.05e-02    8.6e-04
  16400      2.26e+00    2.31e+00      6.88e-02    6.81e-02      7.65e-02    7.84e-02    8.6e-04
  16500      2.09e+00    1.91e+00      4.19e-02    3.36e-02      7.11e-02    6.52e-02    8.6e-04
  16600      2.16e+00    1.78e+00      7.07e-03    1.15e-02      7.37e-02    6.07e-02    8.6e-04
  16700      2.03e+00    2.09e+00      6.30e-03    1.45e-02      6.92e-02    7.13e-02    8.6e-04
  16800      2.13e+00    2.22e+00      8.10e-03    1.08e-02      7.29e-02    7.59e-02    8.6e-04
  16900      2.11e+00    2.22e+00      4.43e-02    4.24e-02      7.17e-02    7.56e-02    8.6e-04
  17000      2.20e+00    1.74e+00      6.47e-03    1.30e-02      7.51e-02    5.95e-02    8.6e-04
  17100      2.11e+00    2.23e+00      2.92e-02    3.70e-02      7.21e-02    7.58e-02    8.6e-04
  17200      2.08e+00    2.16e+00      1.82e-02    1.12e-02      7.09e-02    7.36e-02    8.6e-04
  17300      1.96e+00    2.26e+00      7.02e-03    1.23e-02      6.70e-02    7.72e-02    8.6e-04
  17400      1.99e+00    2.31e+00      3.15e-02    2.12e-02      6.78e-02    7.88e-02    8.6e-04
  17500      2.33e+00    2.31e+00      9.69e-03    1.42e-02      7.95e-02    7.87e-02    8.6e-04
  17600      2.03e+00    2.18e+00      1.18e-02    9.20e-03      6.92e-02    7.45e-02    8.6e-04
  17700      2.03e+00    1.96e+00      1.55e-02    4.33e-03      6.94e-02    6.71e-02    8.6e-04
